מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,תחום,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד,תלמידים שכלל לא ביצעו משימות,ממוצע משימות לתלמיד- כלל שכבתי
239905-ג'רוזלם סקול יסודי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מג'ד רביע,מתמטיקה,2,64,0,0.0,64,0.00
246041-אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,סיון דוד,מתמטיקה,1,27,23,4.3,4,3.67
247411-תיכון סנט טרקמנצ'ץ,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,נארק אברהמיאן,מתמטיקה,1,8,0,0.0,8,0.00
267930-אלמוסתקבל אלאהלייה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ענאיה אבו סנינה,מתמטיקה,1,29,0,0.0,29,0.00
"267955-ביה""ס אמליסון",ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,וסים עלי,מתמטיקה,1,22,0,0.0,22,0.00
338343-יסודי דאר אלאולאד,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,אוסאמה מושעשע,מתמטיקה,1,22,0,0.0,22,0.00
338418-עתיד דביר בנים,בית שמש,ירושלים,יהודי,תמר אודס,אברהם שושן,מתמטיקה,4,79,60,22.8,19,17.30
338434-ברידג' אינטרנשיונל,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,שירין שחאדה,מתמטיקה,1,16,0,0.0,16,0.00
338483-אבו חאמד אלגזאלי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,שירין אבראהים,מתמטיקה,2,31,0,0.0,31,0.00
"338509-חט""ב לבונה",בית אריה,ירושלים,יהודי,ציפי יעקב,חן בן שמעון,מתמטיקה,4,76,68,5.1,8,4.61
338533-שדא אלוורד,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,סרין סאפי,מתמטיקה,1,16,0,0.0,16,0.00
"338616-שש שנתי אמי""ת בנות",מעלה אדומים,ירושלים,יהודי,יעקב עמר,רונית תשובה,מתמטיקה,4,77,22,1.8,55,0.52
343970-על יסודי מאר מטרי,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ארגס עאסי,מתמטיקה,1,14,0,0.0,14,0.00
